SalesKey,OrderDate,ShipDate,CustomerKey,ProductKey,StoreKey,ChannelKey,PromotionKey,OrderNumber,Quantity,UnitPrice,UnitCost,DiscountAmount,SalesAmount,MarginAmount,ReturnedFlag
18,2023-07-17,2023-07-19,145,16,3,1,1,SO-20230018,3,34.95,14.24,8.39,96.46,53.74,False
19,2024-01-08,2024-01-13,147,17,12,1,6,SO-20230019,5,34.80,16.36,13.92,160.08,78.28,False
20,2023-06-06,2023-06-08,119,26,3,3,3,SO-20230020,2,32.90,14.44,3.29,62.51,33.63,True
21,2023-03-20,2023-03-26,118,17,10,1,4,SO-20230021,5,27.30,16.36,10.92,125.58,43.78,False
22,2023-06-18,2023-06-19,39,5,5,3,8,SO-20230022,2,24.60,12.07,5.90,43.30,19.16,False
23,2023-01-11,2023-01-14,177,20,6,2,1,SO-20230023,5,20.95,8.14,8.38,96.37,55.67,False
24,2023-02-12,2023-02-16,45,6,6,1,,SO-20230024,1,28.60,12.01,0.00,28.60,16.59,False
25,2024-11-02,2024-11-08,43,43,6,1,4,SO-20230025,4,32.60,16.12,15.65,114.75,50.27,False
26,2023-05-08,2023-05-10,92,12,8,2,4,SO-20230026,6,16.60,9.36,11.95,87.65,31.49,False
27,2024-07-13,2024-07-17,90,12,10,1,8,SO-20230027,1,19.35,9.36,0.97,18.38,9.02,False
28,2024-10-12,2024-10-14,116,17,8,2,,SO-20230028,2,31.55,16.36,0.00,63.10,30.38,False
29,2023-06-14,2023-06-17,149,46,4,1,8,SO-20230029,3,13.85,5.91,4.99,36.56,18.83,False
30,2024-09-30,2024-10-05,114,11,11,3,2,SO-20230030,2,18.10,8.96,2.90,33.30,15.38,False
31,2023-09-29,2023-10-02,87,32,8,2,,SO-20230031,5,25.90,11.80,0.00,129.50,70.50,False
32,2023-06-25,2023-06-30,118,37,3,1,6,SO-20230032,3,16.50,6.35,3.96,45.54,26.49,False
33,2024-10-22,2024-10-24,1,18,3,3,,SO-20230033,1,12.45,4.69,0.00,12.45,7.76,False
34,2024-07-03,2024-07-05,49,18,1,3,4,SO-20230034,1,6.95,4.69,0.56,6.39,1.70,False
35,2023-06-01,2023-06-02,176,44,6,3,1,SO-20230035,2,36.10,15.46,5.78,66.42,35.50,False
36,2024-11-28,2024-11-29,174,37,3,2,5,SO-20230036,4,11.75,6.35,2.35,44.65,19.25,False
37,2024-08-10,2024-08-16,62,47,4,1,3,SO-20230037,2,18.85,8.96,3.02,34.68,16.76,False
38,2023-02-23,2023-02-28,95,28,8,2,3,SO-20230038,3,17.55,6.92,2.63,50.02,29.26,False
39,2024-11-21,2024-11-22,134,28,7,2,6,SO-20230039,4,16.55,6.92,5.30,60.90,33.22,False
40,2023-01-17,2023-01-20,31,47,2,2,7,SO-20230040,7,21.85,8.96,18.35,134.60,71.88,False
41,2024-10-28,2024-10-31,32,45,9,3,2,SO-20230041,5,6.91,4.91,2.76,31.79,7.24,False
42,2024-04-20,2024-04-22,94,34,1,1,2,SO-20230042,3,26.50,13.23,6.36,73.14,33.45,False
43,2023-06-21,2023-06-24,141,30,6,2,8,SO-20230043,6,24.15,8.35,17.39,127.51,77.41,False
44,2023-11-18,2023-11-22,97,3,8,2,6,SO-20230044,4,18.00,10.40,3.60,68.40,26.80,False
45,2024-02-09,2024-02-13,57,32,9,2,1,SO-20230045,2,26.90,11.80,6.46,47.34,23.74,False
46,2024-03-06,2024-03-12,27,34,8,1,3,SO-20230046,3,25.75,13.23,3.86,73.39,33.70,False
47,2023-02-03,2023-02-06,90,39,10,2,,SO-20230047,2,17.25,10.40,0.00,34.50,13.70,False
48,2024-02-21,2024-02-24,24,17,9,3,,SO-20230048,1,31.05,16.36,0.00,31.05,14.69,False
49,2024-06-09,2024-06-10,21,3,10,3,,SO-20230049,7,17.50,10.40,0.00,122.50,49.70,False
50,2024-08-22,2024-08-28,88,47,4,1,2,SO-20230050,7,20.60,8.96,17.30,126.90,64.18,False
51,2023-01-25,2023-01-30,2,48,10,2,8,SO-20230051,7,20.35,9.36,7.12,135.33,69.81,False
52,2024-04-30,2024-05-01,28,3,11,3,,SO-20230052,6,20.00,10.40,0.00,120.00,57.60,False
53,2023-06-01,2023-06-03,113,4,3,1,2,SO-20230053,5,27.00,10.58,16.20,118.80,65.90,False
54,2024-10-06,2024-10-09,112,36,10,2,,SO-20230054,8,15.90,5.70,0.00,127.20,81.60,False
55,2024-09-23,2024-09-24,47,41,1,2,1,SO-20230055,8,18.85,12.07,12.06,138.74,42.18,True
56,2023-11-20,2023-11-24,61,14,1,2,,SO-20230056,5,21.20,10.79,0.00,106.00,52.05,False
57,2023-03-07,2023-03-08,92,35,10,1,6,SO-20230057,8,36.75,17.55,35.28,258.72,118.32,False
58,2024-07-10,2024-07-12,99,9,10,1,3,SO-20230058,3,15.10,4.91,5.44,39.86,25.13,False
59,2024-08-23,2024-08-26,129,33,8,2,2,SO-20230059,8,21.00,13.50,13.44,154.56,46.56,False
60,2024-01-02,2024-01-05,141,28,4,1,5,SO-20230060,6,13.05,6.92,9.40,68.90,27.38,False
61,2024-03-17,2024-03-21,159,8,2,2,1,SO-20230061,5,32.85,15.46,19.71,144.54,67.24,False
62,2023-06-09,2023-06-13,176,7,9,2,7,SO-20230062,5,28.60,16.12,7.15,135.85,55.25,False
63,2024-07-12,2024-07-18,19,41,12,2,6,SO-20230063,6,23.85,12.07,11.45,131.65,59.23,False
64,2024-08-03,2024-08-07,132,47,5,1,8,SO-20230064,7,19.85,8.96,11.12,127.83,65.11,True
65,2024-04-22,2024-04-23,91,42,2,1,3,SO-20230065,5,28.60,12.01,11.44,131.56,71.51,False
66,2024-12-30,2024-12-31,137,23,2,1,5,SO-20230066,7,23.80,13.26,19.99,146.61,53.79,False
67,2023-01-09,2023-01-10,166,36,4,1,1,SO-20230067,6,9.90,5.70,7.13,52.27,18.07,False
68,2024-04-08,2024-04-12,147,41,2,3,4,SO-20230068,6,26.85,12.07,8.05,153.05,80.63,False
69,2024-08-01,2024-08-06,74,26,3,1,3,SO-20230069,7,30.90,14.44,10.82,205.48,104.40,False
70,2024-02-25,2024-02-29,114,40,8,1,2,SO-20230070,5,27.00,10.58,10.80,124.20,71.30,False
71,2024-09-08,2024-09-11,150,10,11,3,7,SO-20230071,8,14.35,5.91,13.78,101.02,53.74,False
72,2023-05-21,2023-05-22,120,48,5,3,7,SO-20230072,1,25.60,9.36,2.05,23.55,14.19,False
73,2024-06-12,2024-06-15,100,13,4,2,4,SO-20230073,5,20.45,10.64,12.27,89.98,36.78,False
74,2024-12-25,2024-12-28,72,22,2,1,8,SO-20230074,3,21.30,9.57,7.67,56.23,27.52,False
75,2023-07-06,2023-07-07,49,23,1,2,,SO-20230075,6,21.05,13.26,0.00,126.30,46.74,False
76,2024-08-26,2024-08-31,65,38,5,3,,SO-20230076,4,14.25,7.13,0.00,57.00,28.48,False
77,2023-01-19,2023-01-25,13,26,9,2,2,SO-20230077,5,27.65,14.44,16.59,121.66,49.46,True
78,2023-06-22,2023-06-24,130,6,12,3,,SO-20230078,6,25.60,12.01,0.00,153.60,81.54,False
79,2024-03-25,2024-03-30,158,25,7,2,1,SO-20230079,1,27.90,14.93,1.40,26.50,11.57,False
80,2024-08-09,2024-08-14,180,4,11,2,,SO-20230080,6,19.75,10.58,0.00,118.50,55.02,False
81,2024-08-04,2024-08-08,94,22,8,3,3,SO-20230081,4,25.55,9.57,8.18,94.02,55.74,False
82,2024-05-01,2024-05-06,149,41,12,1,7,SO-20230082,6,23.60,12.07,7.08,134.52,62.10,False
83,2024-04-22,2024-04-23,28,37,5,1,2,SO-20230083,7,8.75,6.35,3.06,58.19,13.74,False
84,2023-12-17,2023-12-18,129,1,1,2,7,SO-20230084,1,10.00,6.35,0.80,9.20,2.85,False
85,2023-02-25,2023-02-27,84,22,8,1,1,SO-20230085,4,16.80,9.57,5.38,61.82,23.54,False
86,2023-10-20,2023-10-21,118,13,9,3,7,SO-20230086,8,22.70,10.64,9.08,172.52,87.40,False
87,2024-06-23,2024-06-24,147,26,2,3,7,SO-20230087,4,30.65,14.44,9.81,112.79,55.03,False
88,2024-12-18,2024-12-20,171,26,5,2,2,SO-20230088,1,36.15,14.44,4.34,31.81,17.37,False
89,2023-10-05,2023-10-10,55,47,9,3,2,SO-20230089,5,12.60,8.96,7.56,55.44,10.64,False
90,2023-12-03,2023-12-04,173,47,6,1,8,SO-20230090,5,14.85,8.96,3.71,70.54,25.74,False
91,2024-08-16,2024-08-17,133,12,1,3,6,SO-20230091,5,26.35,9.36,10.54,121.21,74.41,False
92,2024-06-06,2024-06-07,174,29,1,2,6,SO-20230092,1,20.15,7.78,1.01,19.14,11.36,False
93,2024-04-07,2024-04-10,139,47,12,1,,SO-20230093,1,13.10,8.96,0.00,13.10,4.14,False
94,2023-07-09,2023-07-12,125,32,10,1,2,SO-20230094,7,25.40,11.80,8.89,168.91,86.31,False
95,2023-01-09,2023-01-15,130,5,1,2,2,SO-20230095,8,18.60,12.07,7.44,141.36,44.80,False
96,2023-05-31,2023-06-06,29,17,10,1,4,SO-20230096,5,32.30,16.36,19.38,142.12,60.32,False
97,2023-01-19,2023-01-21,173,14,1,2,5,SO-20230097,7,29.20,10.79,10.22,194.18,118.65,False
98,2023-02-12,2023-02-16,143,32,11,2,,SO-20230098,1,23.15,11.80,0.00,23.15,11.35,False
99,2024-11-04,2024-11-06,31,40,3,1,3,SO-20230099,4,29.00,10.58,13.92,102.08,59.76,False
100,2024-12-26,2024-12-29,56,36,4,1,4,SO-20230100,2,11.90,5.70,1.90,21.90,10.50,False
101,2024-04-29,2024-05-03,97,46,9,2,1,SO-20230101,7,17.60,5.91,14.78,108.42,67.05,False
102,2023-07-24,2023-07-29,103,1,8,3,8,SO-20230102,2,11.50,6.35,1.84,21.16,8.46,False
103,2024-09-15,2024-09-16,157,2,1,2,7,SO-20230103,4,13.75,7.13,6.60,48.40,19.88,False
104,2024-01-29,2024-01-30,28,35,5,1,2,SO-20230104,2,37.75,17.55,6.04,69.46,34.36,False
105,2023-10-01,2023-10-03,90,38,8,2,2,SO-20230105,5,17.50,7.13,10.50,77.00,41.35,False
106,2023-04-21,2023-04-24,3,32,4,3,3,SO-20230106,8,29.90,11.80,11.96,227.24,132.84,False
107,2023-04-30,2023-05-06,13,21,7,2,7,SO-20230107,6,15.55,9.21,7.46,85.84,30.58,False
108,2024-11-17,2024-11-18,43,24,8,3,5,SO-20230108,5,32.55,13.02,13.02,149.73,84.63,False
109,2023-08-09,2023-08-15,106,14,6,3,3,SO-20230109,1,29.45,10.79,2.36,27.09,16.30,False
110,2023-12-08,2023-12-10,148,37,9,2,8,SO-20230110,8,13.00,6.35,8.32,95.68,44.88,False
111,2023-03-22,2023-03-25,121,4,12,2,8,SO-20230111,7,25.75,10.58,9.01,171.24,97.18,False
112,2023-05-18,2023-05-21,25,10,10,1,3,SO-20230112,2,9.85,5.91,0.98,18.72,6.90,False
113,2023-02-02,2023-02-06,9,39,5,3,1,SO-20230113,3,19.50,10.40,2.93,55.57,24.37,False
114,2023-03-07,2023-03-10,19,29,12,1,8,SO-20230114,6,16.15,7.78,4.85,92.05,45.37,False
115,2024-10-13,2024-10-14,130,38,1,3,,SO-20230115,1,15.25,7.13,0.00,15.25,8.12,False
116,2024-08-07,2024-08-13,133,21,4,1,2,SO-20230116,3,20.55,9.21,7.40,54.25,26.62,False
117,2023-02-27,2023-03-05,173,33,2,3,2,SO-20230117,1,23.00,13.50,1.15,21.85,8.35,False
118,2023-02-17,2023-02-18,76,18,10,3,2,SO-20230118,1,10.95,4.69,1.31,9.64,4.95,False
119,2023-11-11,2023-11-14,70,23,9,1,4,SO-20230119,5,21.55,13.26,12.93,94.82,28.52,True
120,2023-07-30,2023-07-31,97,26,5,2,3,SO-20230120,4,31.15,14.44,6.23,118.37,60.61,False
121,2023-07-20,2023-07-23,23,24,3,2,8,SO-20230121,8,28.30,13.02,11.32,215.08,110.92,False
122,2023-11-01,2023-11-05,7,46,12,3,6,SO-20230122,6,12.35,5.91,3.71,70.39,34.93,False
123,2023-02-19,2023-02-21,162,20,3,3,8,SO-20230123,2,17.20,8.14,2.75,31.65,15.37,False
124,2023-03-10,2023-03-11,93,31,4,2,,SO-20230124,6,26.90,11.83,0.00,161.40,90.42,False
125,2023-07-19,2023-07-22,164,27,1,2,1,SO-20230125,7,12.30,6.10,4.30,81.80,39.10,False
126,2024-07-12,2024-07-16,2,35,8,2,1,SO-20230126,1,34.50,17.55,1.73,32.77,15.22,False
127,2023-03-21,2023-03-22,102,1,7,2,3,SO-20230127,2,10.25,6.35,2.46,18.04,5.34,False
128,2023-07-09,2023-07-14,145,34,9,1,2,SO-20230128,8,24.75,13.23,9.90,188.10,82.26,False
129,2023-01-12,2023-01-16,147,4,11,3,,SO-20230129,2,22.75,10.58,0.00,45.50,24.34,False
130,2023-10-06,2023-10-09,173,20,11,1,4,SO-20230130,1,18.45,8.14,2.21,16.24,8.10,False
131,2024-03-23,2024-03-25,171,3,5,3,8,SO-20230131,5,19.00,10.40,7.60,87.40,35.40,False
132,2024-05-29,2024-06-02,36,12,10,2,1,SO-20230132,7,21.60,9.36,12.10,139.10,73.58,False
133,2023-09-29,2023-10-03,50,33,5,2,7,SO-20230133,8,31.00,13.50,29.76,218.24,110.24,False
134,2024-09-07,2024-09-13,70,4,3,3,3,SO-20230134,5,26.50,10.58,10.60,121.90,69.00,False
135,2024-06-09,2024-06-14,44,29,6,2,3,SO-20230135,4,15.40,7.78,4.93,56.67,25.55,False
136,2023-05-09,2023-05-12,83,29,10,3,6,SO-20230136,3,11.40,7.78,4.10,30.10,6.76,False
137,2024-06-09,2024-06-13,170,5,10,1,6,SO-20230137,6,24.85,12.07,17.89,131.21,58.79,False
138,2024-06-17,2024-06-21,25,48,6,3,8,SO-20230138,3,16.85,9.36,6.07,44.48,16.40,False
139,2023-05-09,2023-05-12,47,17,10,2,4,SO-20230139,4,30.05,16.36,6.01,114.19,48.75,False
140,2023-01-17,2023-01-20,62,38,3,1,5,SO-20230140,3,17.25,7.13,2.59,49.16,27.77,False
141,2023-08-16,2023-08-18,54,38,9,2,3,SO-20230141,5,15.75,7.13,3.94,74.81,39.16,False
142,2023-02-02,2023-02-04,83,39,6,2,2,SO-20230142,6,19.50,10.40,14.04,102.96,40.56,False
143,2023-04-22,2023-04-27,97,3,11,3,1,SO-20230143,5,18.25,10.40,4.56,86.69,34.69,False
144,2024-02-09,2024-02-14,48,18,7,3,6,SO-20230144,6,16.20,4.69,7.78,89.42,61.28,False
145,2023-12-24,2023-12-28,110,21,7,1,,SO-20230145,4,17.55,9.21,0.00,70.20,33.36,False
146,2023-11-10,2023-11-11,50,24,5,2,,SO-20230146,1,28.05,13.02,0.00,28.05,15.03,True
147,2024-07-24,2024-07-26,94,39,3,1,8,SO-20230147,4,18.50,10.40,3.70,70.30,28.70,False
148,2024-03-19,2024-03-25,88,33,1,1,2,SO-20230148,8,26.25,13.50,25.20,184.80,76.80,False
149,2023-10-24,2023-10-29,57,10,10,3,,SO-20230149,3,14.60,5.91,0.00,43.80,26.07,False
150,2024-12-10,2024-12-12,54,40,2,1,3,SO-20230150,7,23.50,10.58,19.74,144.76,70.70,False
151,2024-03-31,2024-04-06,138,36,8,2,,SO-20230151,5,11.40,5.70,0.00,57.00,28.50,False
152,2024-01-03,2024-01-05,10,13,3,2,4,SO-20230152,5,20.20,10.64,12.12,88.88,35.68,False
153,2023-12-26,2023-12-30,67,46,2,1,,SO-20230153,3,17.85,5.91,0.00,53.55,35.82,False
154,2023-02-27,2023-03-05,94,32,6,2,1,SO-20230154,2,27.65,11.80,6.64,48.66,25.06,False
155,2024-01-13,2024-01-17,154,27,7,3,,SO-20230155,3,12.30,6.10,0.00,36.90,18.60,False
156,2023-09-30,2023-10-04,74,37,9,2,3,SO-20230156,8,12.50,6.35,5.00,95.00,44.20,False
157,2024-12-22,2024-12-27,50,30,6,3,7,SO-20230157,3,19.90,8.35,4.78,54.92,29.87,False
158,2023-12-19,2023-12-23,100,42,4,1,4,SO-20230158,5,29.85,12.01,17.91,131.34,71.29,False
159,2023-08-01,2023-08-07,38,47,7,1,,SO-20230159,1,19.60,8.96,0.00,19.60,10.64,False
160,2023-04-08,2023-04-12,50,38,1,3,2,SO-20230160,8,20.50,7.13,13.12,150.88,93.84,False
161,2024-12-24,2024-12-26,174,30,8,1,8,SO-20230161,3,23.90,8.35,3.59,68.11,43.06,False
162,2023-03-31,2023-04-01,101,31,4,2,5,SO-20230162,3,27.90,11.83,10.04,73.66,38.17,False
163,2023-01-17,2023-01-22,150,36,5,1,8,SO-20230163,3,14.40,5.70,2.16,41.04,23.94,False
164,2023-04-16,2023-04-22,70,31,12,1,1,SO-20230164,3,26.65,11.83,6.40,73.55,38.06,False
165,2023-05-21,2023-05-23,104,15,1,1,2,SO-20230165,8,31.95,14.69,20.45,235.15,117.63,False
166,2023-10-25,2023-10-31,29,23,12,3,1,SO-20230166,2,29.05,13.26,2.91,55.19,28.67,False
167,2023-08-22,2023-08-23,12,20,8,3,6,SO-20230167,8,22.70,8.14,21.79,159.81,94.69,False
168,2023-10-03,2023-10-07,126,19,3,1,,SO-20230168,2,19.70,7.53,0.00,39.40,24.34,False
169,2023-06-21,2023-06-26,51,19,6,1,7,SO-20230169,8,15.70,7.53,10.05,115.55,55.31,False
170,2024-03-30,2024-04-05,17,33,12,3,,SO-20230170,7,25.50,13.50,0.00,178.50,84.00,False
171,2023-06-29,2023-07-04,13,34,12,1,6,SO-20230171,1,33.25,13.23,3.99,29.26,16.03,False
172,2024-01-23,2024-01-27,31,7,10,1,2,SO-20230172,3,32.10,16.12,4.82,91.48,43.12,False
173,2024-03-12,2024-03-18,149,9,6,2,,SO-20230173,1,9.60,4.91,0.00,9.60,4.69,False
174,2024-02-28,2024-03-05,127,17,9,3,3,SO-20230174,6,33.05,16.36,9.92,188.38,90.22,False
175,2023-08-12,2023-08-15,111,46,9,1,8,SO-20230175,6,10.10,5.91,4.85,55.75,20.29,False
176,2024-09-05,2024-09-08,174,2,11,3,,SO-20230176,4,19.00,7.13,0.00,76.00,47.48,False
177,2024-11-16,2024-11-17,78,45,2,3,5,SO-20230177,5,15.10,4.91,9.06,66.44,41.89,False
178,2024-12-16,2024-12-22,11,16,8,1,3,SO-20230178,4,31.95,14.24,15.34,112.46,55.50,False
179,2024-03-11,2024-03-17,70,46,6,2,4,SO-20230179,2,11.85,5.91,1.19,22.51,10.69,False
180,2024-05-14,2024-05-15,110,47,8,3,1,SO-20230180,3,13.60,8.96,4.90,35.90,9.02,False
181,2024-09-27,2024-10-02,28,19,10,1,8,SO-20230181,7,10.20,7.53,8.57,62.83,10.12,True
182,2023-05-06,2023-05-11,6,32,2,3,1,SO-20230182,8,26.15,11.80,10.46,198.74,104.34,False
183,2024-02-13,2024-02-14,120,29,6,1,4,SO-20230183,2,18.40,7.78,2.94,33.86,18.30,False
184,2023-09-18,2023-09-23,36,15,4,3,8,SO-20230184,6,32.20,14.69,15.46,177.74,89.60,False
185,2024-12-31,2024-12-31,42,2,9,3,5,SO-20230185,5,17.75,7.13,4.44,84.31,48.66,False
186,2024-06-07,2024-06-09,122,17,10,2,4,SO-20230186,2,33.05,16.36,3.30,62.80,30.08,False
187,2023-09-26,2023-09-27,174,5,3,3,6,SO-20230187,5,19.60,12.07,7.84,90.16,29.81,False
188,2023-11-01,2023-11-02,102,16,3,1,,SO-20230188,2,33.95,14.24,0.00,67.90,39.42,False
189,2024-08-14,2024-08-16,117,11,12,1,3,SO-20230189,1,14.60,8.96,1.75,12.85,3.89,False
190,2023-08-04,2023-08-10,72,5,9,1,8,SO-20230190,4,20.60,12.07,6.59,75.81,27.53,False
191,2023-12-22,2023-12-23,123,26,11,3,,SO-20230191,1,30.40,14.44,0.00,30.40,15.96,False
192,2024-09-05,2024-09-08,141,42,6,3,1,SO-20230192,8,29.10,12.01,18.62,214.18,118.10,True
193,2023-05-18,2023-05-20,180,4,11,2,4,SO-20230193,3,27.75,10.58,4.16,79.09,47.35,False
194,2024-09-01,2024-09-06,108,4,10,1,,SO-20230194,6,25.75,10.58,0.00,154.50,91.02,False
195,2024-04-08,2024-04-13,48,25,3,1,,SO-20230195,6,24.65,14.93,0.00,147.90,58.32,False
196,2024-03-16,2024-03-21,2,24,3,2,2,SO-20230196,2,26.05,13.02,4.17,47.93,21.89,False
197,2023-03-06,2023-03-10,80,43,5,2,7,SO-20230197,3,27.10,16.12,9.76,71.54,23.18,False
198,2024-02-27,2024-03-01,130,32,7,2,7,SO-20230198,2,29.15,11.80,4.66,53.64,30.04,True
199,2024-08-26,2024-08-31,20,2,10,2,5,SO-20230199,3,12.50,7.13,4.50,33.00,11.61,False
200,2023-12-16,2023-12-17,104,8,6,3,2,SO-20230200,1,30.35,15.46,1.52,28.83,13.37,False
201,2024-06-30,2024-07-04,131,13,12,2,7,SO-20230201,5,22.95,10.64,9.18,105.57,52.37,False
202,2024-01-05,2024-01-07,35,13,11,2,3,SO-20230202,8,18.95,10.64,18.19,133.41,48.29,False
203,2023-07-23,2023-07-24,34,6,6,2,5,SO-20230203,3,28.60,12.01,6.86,78.94,42.91,False
204,2023-05-07,2023-05-11,137,34,3,3,,SO-20230204,8,29.00,13.23,0.00,232.00,126.16,False
205,2023-08-23,2023-08-25,72,1,3,2,7,SO-20230205,5,15.50,6.35,3.88,73.62,41.87,False
206,2024-08-08,2024-08-14,161,25,4,1,6,SO-20230206,3,26.40,14.93,6.34,72.86,28.07,False
207,2023-07-20,2023-07-25,159,5,4,3,,SO-20230207,5,18.85,12.07,0.00,94.25,33.90,False
208,2023-10-27,2023-10-31,98,3,4,1,7,SO-20230208,6,20.75,10.40,14.94,109.56,47.16,False
209,2023-06-28,2023-06-29,79,23,3,3,,SO-20230209,2,28.30,13.26,0.00,56.60,30.08,False
210,2024-01-03,2024-01-05,59,42,3,2,1,SO-20230210,1,25.35,12.01,1.27,24.08,12.07,False
211,2023-05-08,2023-05-14,133,15,11,1,7,SO-20230211,7,29.20,14.69,16.35,188.05,85.22,False
212,2023-11-20,2023-11-26,23,28,7,3,1,SO-20230212,4,12.30,6.92,5.90,43.30,15.62,False
213,2024-02-03,2024-02-09,84,31,11,3,8,SO-20230213,1,18.15,11.83,0.91,17.24,5.41,False
214,2024-04-20,2024-04-22,75,33,10,1,1,SO-20230214,5,26.25,13.50,6.56,124.69,57.19,False
215,2024-12-10,2024-12-16,60,42,8,3,,SO-20230215,2,31.85,12.01,0.00,63.70,39.68,False
216,2023-10-25,2023-10-31,165,26,2,3,3,SO-20230216,8,31.65,14.44,30.38,222.82,107.30,False
217,2024-02-03,2024-02-05,138,26,11,2,7,SO-20230217,7,32.40,14.44,27.22,199.58,98.50,False
218,2024-04-01,2024-04-03,67,11,5,3,7,SO-20230218,1,18.85,8.96,1.51,17.34,8.38,False
219,2024-06-15,2024-06-20,159,26,7,3,5,SO-20230219,6,33.15,14.44,23.87,175.03,88.39,False
220,2023-07-13,2023-07-15,104,44,3,1,1,SO-20230220,8,37.10,15.46,23.74,273.06,149.38,True
221,2024-04-07,2024-04-10,32,30,7,1,3,SO-20230221,1,22.15,8.35,1.11,21.04,12.69,False
222,2024-06-08,2024-06-12,24,47,6,2,2,SO-20230222,3,20.60,8.96,7.42,54.38,27.50,False
223,2024-07-02,2024-07-07,45,20,4,3,8,SO-20230223,1,16.45,8.14,0.82,15.63,7.49,False
224,2023-12-17,2023-12-18,74,18,8,2,,SO-20230224,6,14.95,4.69,0.00,89.70,61.56,False
225,2023-09-02,2023-09-08,16,5,3,1,6,SO-20230225,2,19.85,12.07,4.76,34.94,10.80,False
226,2024-12-30,2024-12-31,34,27,9,2,8,SO-20230226,6,9.05,6.10,2.71,51.59,14.99,False
227,2024-08-20,2024-08-26,7,24,2,1,,SO-20230227,1,33.55,13.02,0.00,33.55,20.53,False
228,2024-10-22,2024-10-24,149,7,9,2,6,SO-20230228,7,32.85,16.12,27.59,202.36,89.52,True
229,2024-03-30,2024-04-03,48,30,11,2,4,SO-20230229,8,20.90,8.35,20.06,147.14,80.34,False
230,2023-01-08,2023-01-09,102,11,12,1,1,SO-20230230,1,17.60,8.96,1.41,16.19,7.23,False
231,2024-10-12,2024-10-18,26,31,5,3,,SO-20230231,8,24.65,11.83,0.00,197.20,102.56,False
232,2024-10-09,2024-10-13,111,44,8,2,1,SO-20230232,5,31.60,15.46,12.64,145.36,68.06,False
233,2024-04-08,2024-04-12,36,24,5,2,,SO-20230233,4,34.30,13.02,0.00,137.20,85.12,True
234,2023-10-26,2023-10-28,17,18,2,3,6,SO-20230234,4,12.20,4.69,2.44,46.36,27.60,False
235,2023-06-25,2023-06-26,87,13,8,2,8,SO-20230235,4,17.45,10.64,8.38,61.42,18.86,False
236,2023-01-04,2023-01-08,84,22,4,3,1,SO-20230236,6,25.30,9.57,18.22,133.58,76.16,False
237,2023-02-26,2023-03-03,83,48,3,2,,SO-20230237,4,16.60,9.36,0.00,66.40,28.96,False
238,2023-09-01,2023-09-03,36,12,7,2,,SO-20230238,4,18.10,9.36,0.00,72.40,34.96,False
239,2024-08-07,2024-08-08,98,31,1,2,4,SO-20230239,1,23.90,11.83,2.87,21.03,9.20,False
240,2023-04-14,2023-04-16,128,11,8,3,8,SO-20230240,7,17.35,8.96,9.72,111.73,49.01,False
241,2023-02-27,2023-03-01,19,18,7,2,8,SO-20230241,1,7.70,4.69,0.39,7.31,2.62,False
242,2023-04-09,2023-04-10,24,33,10,1,4,SO-20230242,4,29.75,13.50,14.28,104.72,50.72,True
