ActualKey,Date,DepartmentKey,CostCenterKey,AccountKey,ScenarioKey,Amount,FTE,CommentCode
104,2024-01-01,2,3,32,1,67159.95,2.70,PROJECT
105,2024-01-01,2,3,33,1,67665.81,2.10,PROJECT
106,2024-01-01,2,3,34,1,69221.67,1.70,BASE
107,2024-01-01,2,3,35,1,72477.53,3.15,SEASONAL
108,2024-01-01,2,3,36,1,74308.39,2.65,SEASONAL
109,2024-01-01,2,4,1,1,43386.57,2.10,BASE
110,2024-01-01,2,4,2,1,48543.69,3.05,TREND
111,2024-01-01,2,4,3,1,54000.81,3.45,SEASONAL
112,2024-01-01,2,4,4,1,58532.93,1.70,TREND
113,2024-01-01,2,4,5,1,64490.05,1.70,SEASONAL
114,2024-01-01,2,4,6,1,69772.17,3.40,BASE
115,2024-01-01,2,4,7,1,75304.29,2.75,PROJECT
116,2024-01-01,2,4,8,1,79986.41,1.75,PROJECT
117,2024-01-01,2,4,9,1,86193.53,3.10,PROJECT
118,2024-01-01,2,4,10,1,51303.94,2.05,BASE
119,2024-01-01,2,4,11,1,54261.58,2.15,SEASONAL
120,2024-01-01,2,4,12,1,57644.22,1.35,PROJECT
121,2024-01-01,2,4,13,1,60151.86,3.75,TREND
122,2024-01-01,2,4,14,1,64159.50,2.00,BASE
123,2024-01-01,2,4,15,1,66817.14,3.55,BASE
124,2024-01-01,2,4,16,1,70549.78,2.35,SEASONAL
125,2024-01-01,2,4,17,1,73807.42,2.05,TREND
126,2024-01-01,2,4,18,1,76715.06,2.55,PROJECT
127,2024-01-01,2,4,19,1,58792.03,3.05,PROJECT
128,2024-01-01,2,4,20,1,62041.51,3.60,PROJECT
129,2024-01-01,2,4,21,1,64690.99,3.35,SEASONAL
130,2024-01-01,2,4,22,1,65415.47,2.45,PROJECT
131,2024-01-01,2,4,23,1,67589.95,3.50,SEASONAL
132,2024-01-01,2,4,24,1,71539.43,1.85,SEASONAL
133,2024-01-01,2,4,25,1,72463.91,2.75,BASE
134,2024-01-01,2,4,26,1,76013.39,2.10,BASE
135,2024-01-01,2,4,27,1,77012.87,3.70,TREND
136,2024-01-01,2,4,28,1,59834.26,2.65,TREND
137,2024-01-01,2,4,29,1,60815.12,3.20,BASE
138,2024-01-01,2,4,30,1,62445.98,1.80,SEASONAL
139,2024-01-01,2,4,31,1,64926.84,3.40,PROJECT
140,2024-01-01,2,4,32,1,66382.70,1.85,TREND
141,2024-01-01,2,4,33,1,68438.56,3.75,BASE
142,2024-01-01,2,4,34,1,69369.42,2.75,BASE
143,2024-01-01,2,4,35,1,72050.28,2.40,TREND
144,2024-01-01,2,4,36,1,73531.14,2.60,BASE
145,2024-01-01,3,5,1,1,38953.74,3.30,BASE
146,2024-01-01,3,5,2,1,42571.18,3.30,SEASONAL
147,2024-01-01,3,5,3,1,46963.62,3.25,SEASONAL
148,2024-01-01,3,5,4,1,52506.06,2.35,TREND
149,2024-01-01,3,5,5,1,56298.50,3.60,BASE
150,2024-01-01,3,5,6,1,61715.94,4.05,BASE
151,2024-01-01,3,5,7,1,67383.38,3.30,BASE
152,2024-01-01,3,5,8,1,71425.82,2.15,SEASONAL
153,2024-01-01,3,5,9,1,75168.26,3.05,TREND
154,2024-01-01,3,5,10,1,45906.11,3.35,BASE
155,2024-01-01,3,5,11,1,49326.79,3.50,TREND
156,2024-01-01,3,5,12,1,50872.47,2.55,TREND
157,2024-01-01,3,5,13,1,54768.15,3.65,BASE
158,2024-01-01,3,5,14,1,57288.83,2.00,SEASONAL
159,2024-01-01,3,5,15,1,60159.51,3.35,TREND
160,2024-01-01,3,5,16,1,61880.19,3.60,BASE
161,2024-01-01,3,5,17,1,65175.87,3.80,SEASONAL
162,2024-01-01,3,5,18,1,67746.55,4.05,PROJECT
163,2024-01-01,3,5,19,1,52550.42,2.65,PROJECT
164,2024-01-01,3,5,20,1,54647.18,3.70,BASE
165,2024-01-01,3,5,21,1,56493.94,2.95,BASE
166,2024-01-01,3,5,22,1,59015.70,3.65,SEASONAL
167,2024-01-01,3,5,23,1,61712.46,2.35,BASE
168,2024-01-01,3,5,24,1,63059.22,2.65,TREND
169,2024-01-01,3,5,25,1,64130.98,3.05,TREND
170,2024-01-01,3,5,26,1,67677.74,2.25,BASE
171,2024-01-01,3,5,27,1,68974.50,2.70,BASE
172,2024-01-01,3,5,28,1,53853.45,3.10,PROJECT
173,2024-01-01,3,5,29,1,55194.77,3.00,PROJECT
174,2024-01-01,3,5,30,1,55736.09,4.10,TREND
175,2024-01-01,3,5,31,1,57727.41,3.30,SEASONAL
176,2024-01-01,3,5,32,1,59118.73,3.60,SEASONAL
177,2024-01-01,3,5,33,1,60685.05,2.00,BASE
178,2024-01-01,3,5,34,1,62376.37,2.10,BASE
179,2024-01-01,3,5,35,1,63842.69,3.70,TREND
180,2024-01-01,3,5,36,1,65984.01,2.40,SEASONAL
181,2024-01-01,3,6,1,1,37591.64,3.85,PROJECT
182,2024-01-01,3,6,2,1,42584.08,1.95,TREND
183,2024-01-01,3,6,3,1,47826.52,3.75,SEASONAL
184,2024-01-01,3,6,4,1,52443.96,4.15,PROJECT
185,2024-01-01,3,6,5,1,56761.40,3.90,BASE
186,2024-01-01,3,6,6,1,62403.84,2.05,BASE
187,2024-01-01,3,6,7,1,65821.28,1.90,SEASONAL
188,2024-01-01,3,6,8,1,71213.72,4.00,BASE
189,2024-01-01,3,6,9,1,75506.16,1.80,SEASONAL
190,2024-01-01,3,6,10,1,46542.05,3.70,TREND
191,2024-01-01,3,6,11,1,49537.73,3.40,PROJECT
192,2024-01-01,3,6,12,1,51458.41,1.85,TREND
193,2024-01-01,3,6,13,1,54129.09,4.00,TREND
194,2024-01-01,3,6,14,1,57174.77,3.30,TREND
195,2024-01-01,3,6,15,1,59395.45,2.25,BASE
196,2024-01-01,3,6,16,1,62066.13,2.05,PROJECT
197,2024-01-01,3,6,17,1,65236.81,2.05,BASE
198,2024-01-01,3,6,18,1,67832.49,2.15,BASE
199,2024-01-01,3,6,19,1,52027.38,1.85,BASE
200,2024-01-01,3,6,20,1,55199.14,3.30,SEASONAL
201,2024-01-01,3,6,21,1,57020.90,2.15,BASE
202,2024-01-01,3,6,22,1,59667.66,3.05,TREND
203,2024-01-01,3,6,23,1,61589.42,1.80,PROJECT
204,2024-01-01,3,6,24,1,63461.18,3.45,PROJECT
205,2024-01-01,3,6,25,1,65657.94,2.70,BASE
206,2024-01-01,3,6,26,1,67804.70,2.10,PROJECT
207,2024-01-01,3,6,27,1,68676.46,3.70,BASE
208,2024-01-01,3,6,28,1,54073.67,2.95,SEASONAL
209,2024-01-01,3,6,29,1,54264.99,3.20,TREND
210,2024-01-01,3,6,30,1,56081.31,2.00,PROJECT
211,2024-01-01,3,6,31,1,57597.63,1.95,PROJECT
212,2024-01-01,3,6,32,1,59613.95,2.40,TREND
213,2024-01-01,3,6,33,1,60330.27,2.45,BASE
214,2024-01-01,3,6,34,1,62821.59,1.90,SEASONAL
215,2024-01-01,3,6,35,1,63662.91,2.30,BASE
216,2024-01-01,3,6,36,1,65504.23,3.20,TREND
217,2024-01-01,4,7,1,1,37529.53,2.70,PROJECT
218,2024-01-01,4,7,2,1,43071.97,1.05,SEASONAL
219,2024-01-01,4,7,3,1,48039.41,0.75,PROJECT
220,2024-01-01,4,7,4,1,52656.85,1.45,SEASONAL
221,2024-01-01,4,7,5,1,57199.29,2.80,BASE
222,2024-01-01,4,7,6,1,61966.73,1.80,PROJECT
223,2024-01-01,4,7,7,1,67159.17,2.75,PROJECT
224,2024-01-01,4,7,8,1,72151.61,1.85,TREND
225,2024-01-01,4,7,9,1,76794.05,0.70,TREND
226,2024-01-01,4,7,10,1,46178.00,2.05,TREND
227,2024-01-01,4,7,11,1,49673.68,1.70,BASE
228,2024-01-01,4,7,12,1,51044.36,2.50,PROJECT
229,2024-01-01,4,7,13,1,53640.04,1.80,BASE
230,2024-01-01,4,7,14,1,57410.72,2.75,PROJECT
231,2024-01-01,4,7,15,1,60106.40,1.80,SEASONAL
232,2024-01-01,4,7,16,1,61652.08,0.55,BASE
233,2024-01-01,4,7,17,1,64422.76,2.70,TREND
234,2024-01-01,4,7,18,1,68068.44,2.65,BASE
235,2024-01-01,4,7,19,1,52379.34,2.25,PROJECT
236,2024-01-01,4,7,20,1,54551.10,1.85,TREND
237,2024-01-01,4,7,21,1,57147.86,1.25,PROJECT
238,2024-01-01,4,7,22,1,58719.62,2.65,TREND
239,2024-01-01,4,7,23,1,60841.38,0.60,BASE
240,2024-01-01,4,7,24,1,62613.14,2.70,SEASONAL
241,2024-01-01,4,7,25,1,65284.90,1.15,SEASONAL
242,2024-01-01,4,7,26,1,66606.66,1.90,BASE
243,2024-01-01,4,7,27,1,69778.42,2.85,SEASONAL
244,2024-01-01,4,7,28,1,53518.88,2.80,SEASONAL
245,2024-01-01,4,7,29,1,53960.20,2.00,BASE
246,2024-01-01,4,7,30,1,55826.52,1.20,BASE
247,2024-01-01,4,7,31,1,57817.84,2.85,SEASONAL
248,2024-01-01,4,7,32,1,59159.16,0.75,SEASONAL
249,2024-01-01,4,7,33,1,60750.48,1.05,SEASONAL
250,2024-01-01,4,7,34,1,63091.80,2.90,TREND
251,2024-01-01,4,7,35,1,64133.12,2.75,PROJECT
252,2024-01-01,4,7,36,1,66024.44,2.35,PROJECT
253,2024-01-01,4,8,1,1,38967.43,0.85,SEASONAL
254,2024-01-01,4,8,2,1,43684.87,1.10,TREND
255,2024-01-01,4,8,3,1,48677.31,0.75,TREND
256,2024-01-01,4,8,4,1,52219.75,2.00,BASE
257,2024-01-01,4,8,5,1,57387.19,1.35,PROJECT
258,2024-01-01,4,8,6,1,61804.63,2.40,SEASONAL
259,2024-01-01,4,8,7,1,66347.07,2.35,BASE
260,2024-01-01,4,8,8,1,70964.51,2.15,SEASONAL
261,2024-01-01,4,8,9,1,75656.95,1.40,TREND
262,2024-01-01,4,8,10,1,45588.94,2.30,PROJECT
263,2024-01-01,4,8,11,1,49009.62,0.90,SEASONAL
264,2024-01-01,4,8,12,1,51030.30,2.00,TREND
265,2024-01-01,4,8,13,1,54250.98,2.20,BASE
266,2024-01-01,4,8,14,1,57696.66,1.55,BASE
267,2024-01-01,4,8,15,1,59442.34,0.95,BASE
268,2024-01-01,4,8,16,1,63038.02,1.65,SEASONAL
269,2024-01-01,4,8,17,1,65558.70,2.95,TREND
270,2024-01-01,4,8,18,1,68579.38,1.50,PROJECT
271,2024-01-01,4,8,19,1,52831.29,1.65,PROJECT
272,2024-01-01,4,8,20,1,54678.05,1.70,TREND
273,2024-01-01,4,8,21,1,56674.81,2.65,TREND
274,2024-01-01,4,8,22,1,58871.57,2.05,PROJECT
275,2024-01-01,4,8,23,1,60318.33,2.85,TREND
276,2024-01-01,4,8,24,1,63565.09,0.80,SEASONAL
277,2024-01-01,4,8,25,1,64511.85,0.65,PROJECT
278,2024-01-01,4,8,26,1,66408.61,1.75,TREND
279,2024-01-01,4,8,27,1,68355.37,1.25,SEASONAL
280,2024-01-01,4,8,28,1,53164.10,2.75,BASE
281,2024-01-01,4,8,29,1,54005.42,0.70,PROJECT
282,2024-01-01,4,8,30,1,57071.74,1.65,PROJECT
283,2024-01-01,4,8,31,1,57688.06,2.45,PROJECT
284,2024-01-01,4,8,32,1,59454.38,0.70,SEASONAL
285,2024-01-01,4,8,33,1,60195.70,2.80,BASE
286,2024-01-01,4,8,34,1,61662.02,2.70,SEASONAL
287,2024-01-01,4,8,35,1,63703.34,2.75,SEASONAL
288,2024-01-01,4,8,36,1,65819.66,2.60,TREND
289,2024-01-01,5,9,1,1,35689.98,2.50,TREND
290,2024-01-01,5,9,2,1,40892.92,3.00,PROJECT
291,2024-01-01,5,9,3,1,45545.87,1.45,SEASONAL
292,2024-01-01,5,9,4,1,49748.81,1.55,SEASONAL
293,2024-01-01,5,9,5,1,53901.75,3.30,TREND
294,2024-01-01,5,9,6,1,57604.70,3.20,SEASONAL
295,2024-01-01,5,9,7,1,62007.64,1.35,PROJECT
296,2024-01-01,5,9,8,1,65960.59,2.50,BASE
297,2024-01-01,5,9,9,1,70988.53,1.25,TREND
298,2024-01-01,5,9,10,1,42616.56,1.45,PROJECT
299,2024-01-01,5,9,11,1,44882.52,3.10,BASE
300,2024-01-01,5,9,12,1,48973.49,2.25,PROJECT
301,2024-01-01,5,9,13,1,50164.46,0.95,SEASONAL
302,2024-01-01,5,9,14,1,52380.43,1.95,BASE
303,2024-01-01,5,9,15,1,55871.40,1.75,TREND
304,2024-01-01,5,9,16,1,57512.36,2.35,PROJECT
305,2024-01-01,5,9,17,1,61378.33,1.05,BASE
306,2024-01-01,5,9,18,1,63644.30,3.30,BASE
307,2024-01-01,5,9,19,1,50032.70,1.90,TREND
308,2024-01-01,5,9,20,1,50544.68,1.70,PROJECT
309,2024-01-01,5,9,21,1,52831.65,1.30,TREND
310,2024-01-01,5,9,22,1,54943.63,2.55,SEASONAL
311,2024-01-01,5,9,23,1,56330.61,2.80,SEASONAL
312,2024-01-01,5,9,24,1,57967.58,2.70,TREND
313,2024-01-01,5,9,25,1,60654.56,1.70,SEASONAL
314,2024-01-01,5,9,26,1,63091.53,2.35,PROJECT
315,2024-01-01,5,9,27,1,64528.51,0.95,BASE
316,2024-01-01,5,9,28,1,50205.36,1.00,PROJECT
317,2024-01-01,5,9,29,1,51720.60,1.10,PROJECT
318,2024-01-01,5,9,30,1,52810.83,3.10,BASE
319,2024-01-01,5,9,31,1,53576.06,2.65,SEASONAL
320,2024-01-01,5,9,32,1,55841.29,1.65,SEASONAL
321,2024-01-01,5,9,33,1,56581.52,2.00,BASE
322,2024-01-01,5,9,34,1,58446.76,3.20,TREND
323,2024-01-01,5,9,35,1,59736.99,2.40,PROJECT
324,2024-01-01,5,9,36,1,61727.22,3.05,SEASONAL
325,2024-01-01,5,10,1,1,36073.68,2.30,PROJECT
326,2024-01-01,5,10,2,1,40201.63,3.20,TREND
327,2024-01-01,5,10,3,1,44854.57,1.60,TREND
328,2024-01-01,5,10,4,1,49457.52,2.05,SEASONAL
329,2024-01-01,5,10,5,1,53285.46,2.65,BASE
330,2024-01-01,5,10,6,1,58338.40,2.00,SEASONAL
331,2024-01-01,5,10,7,1,62291.35,2.00,SEASONAL
332,2024-01-01,5,10,8,1,67544.29,2.20,PROJECT
333,2024-01-01,5,10,9,1,70572.24,3.25,BASE
334,2024-01-01,5,10,10,1,43275.10,0.95,SEASONAL
335,2024-01-01,5,10,11,1,45966.07,2.65,PROJECT
336,2024-01-01,5,10,12,1,47657.04,1.00,SEASONAL
337,2024-01-01,5,10,13,1,49923.01,2.30,SEASONAL
338,2024-01-01,5,10,14,1,52638.97,2.75,PROJECT
339,2024-01-01,5,10,15,1,55854.94,1.40,SEASONAL
340,2024-01-01,5,10,16,1,58670.91,1.25,TREND
341,2024-01-01,5,10,17,1,60186.88,2.30,PROJECT
342,2024-01-01,5,10,18,1,63027.85,2.10,SEASONAL
343,2024-01-01,5,10,19,1,49032.86,0.95,PROJECT
344,2024-01-01,5,10,20,1,51494.84,1.85,TREND
345,2024-01-01,5,10,21,1,52456.81,2.20,PROJECT
346,2024-01-01,5,10,22,1,55168.79,2.70,PROJECT
347,2024-01-01,5,10,23,1,57255.76,3.30,BASE
348,2024-01-01,5,10,24,1,58817.74,2.45,SEASONAL
349,2024-01-01,5,10,25,1,60079.72,1.30,TREND
350,2024-01-01,5,10,26,1,62066.69,1.95,SEASONAL
351,2024-01-01,5,10,27,1,64053.67,2.40,SEASONAL
352,2024-01-01,5,10,28,1,49174.23,0.95,SEASONAL
353,2024-01-01,5,10,29,1,51214.47,3.10,SEASONAL
354,2024-01-01,5,10,30,1,53204.70,1.15,TREND
355,2024-01-01,5,10,31,1,54844.93,2.35,TREND
356,2024-01-01,5,10,32,1,55210.16,2.70,PROJECT
357,2024-01-01,5,10,33,1,56925.39,1.80,SEASONAL
358,2024-01-01,5,10,34,1,58790.63,2.90,BASE
359,2024-01-01,5,10,35,1,59930.86,1.35,BASE
360,2024-01-01,5,10,36,1,61071.09,2.80,PROJECT
361,2024-01-01,6,11,1,1,36632.39,2.50,SEASONAL
362,2024-01-01,6,11,2,1,41110.33,3.55,TREND
363,2024-01-01,6,11,3,1,44413.28,3.15,TREND
364,2024-01-01,6,11,4,1,49716.22,2.95,SEASONAL
365,2024-01-01,6,11,5,1,53994.17,2.90,SEASONAL
366,2024-01-01,6,11,6,1,58547.11,3.50,PROJECT
367,2024-01-01,6,11,7,1,62200.05,3.00,PROJECT
368,2024-01-01,6,11,8,1,66253.00,3.45,SEASONAL
369,2024-01-01,6,11,9,1,70980.94,3.45,PROJECT
370,2024-01-01,6,11,10,1,43358.65,3.45,SEASONAL
371,2024-01-01,6,11,11,1,46224.62,2.80,TREND
372,2024-01-01,6,11,12,1,48865.58,2.25,BASE
373,2024-01-01,6,11,13,1,51431.55,3.55,PROJECT
374,2024-01-01,6,11,14,1,52697.52,2.70,SEASONAL
375,2024-01-01,6,11,15,1,56263.49,3.75,TREND
376,2024-01-01,6,11,16,1,58354.46,3.50,SEASONAL
377,2024-01-01,6,11,17,1,59995.42,2.60,PROJECT
378,2024-01-01,6,11,18,1,63586.39,3.15,SEASONAL
379,2024-01-01,6,11,19,1,49283.02,2.75,TREND
380,2024-01-01,6,11,20,1,50570.00,3.20,TREND
381,2024-01-01,6,11,21,1,52881.97,3.35,BASE
382,2024-01-01,6,11,22,1,55068.95,1.45,PROJECT
383,2024-01-01,6,11,23,1,56680.92,2.95,TREND
384,2024-01-01,6,11,24,1,58692.90,3.10,BASE
385,2024-01-01,6,11,25,1,61479.88,1.70,PROJECT
386,2024-01-01,6,11,26,1,62716.85,3.40,TREND
387,2024-01-01,6,11,27,1,64278.83,1.45,PROJECT
388,2024-01-01,6,11,28,1,49718.10,2.95,SEASONAL
389,2024-01-01,6,11,29,1,51908.34,3.25,PROJECT
390,2024-01-01,6,11,30,1,52148.57,3.50,BASE
391,2024-01-01,6,11,31,1,53213.80,2.95,PROJECT
392,2024-01-01,6,11,32,1,55354.03,3.35,PROJECT
393,2024-01-01,6,11,33,1,56744.26,2.05,PROJECT
394,2024-01-01,6,11,34,1,58509.50,3.35,SEASONAL
395,2024-01-01,6,11,35,1,60474.73,3.35,SEASONAL
396,2024-01-01,6,11,36,1,61339.96,2.70,TREND
397,2024-01-01,6,12,1,1,36641.10,3.45,TREND
398,2024-01-01,6,12,2,1,40869.04,1.45,PROJECT
399,2024-01-01,6,12,3,1,44246.98,2.75,BASE
400,2024-01-01,6,12,4,1,50099.93,1.80,BASE
401,2024-01-01,6,12,5,1,53052.87,3.25,BASE
402,2024-01-01,6,12,6,1,58755.82,1.45,PROJECT
403,2024-01-01,6,12,7,1,62333.76,3.20,BASE
404,2024-01-01,6,12,8,1,67536.70,1.50,SEASONAL
405,2024-01-01,6,12,9,1,71339.65,1.95,BASE
406,2024-01-01,6,12,10,1,42892.19,2.80,BASE
407,2024-01-01,6,12,11,1,45583.16,2.60,BASE
408,2024-01-01,6,12,12,1,48949.13,1.90,SEASONAL
409,2024-01-01,6,12,13,1,51515.10,3.05,SEASONAL
410,2024-01-01,6,12,14,1,53231.07,3.75,TREND
411,2024-01-01,6,12,15,1,55772.03,2.75,PROJECT
412,2024-01-01,6,12,16,1,57613.00,2.75,BASE
413,2024-01-01,6,12,17,1,60878.97,3.45,TREND
414,2024-01-01,6,12,18,1,62619.94,2.60,PROJECT
415,2024-01-01,6,12,19,1,49608.18,2.00,BASE
416,2024-01-01,6,12,20,1,51645.16,2.95,TREND
417,2024-01-01,6,12,21,1,53432.13,3.05,TREND
418,2024-01-01,6,12,22,1,55544.11,3.75,BASE
419,2024-01-01,6,12,23,1,56306.08,3.15,PROJECT
420,2024-01-01,6,12,24,1,58493.06,2.15,TREND
421,2024-01-01,6,12,25,1,61080.04,1.70,TREND
422,2024-01-01,6,12,26,1,62717.01,1.70,SEASONAL
423,2024-01-01,6,12,27,1,64603.99,1.50,SEASONAL
424,2024-01-01,6,12,28,1,49936.97,2.10,TREND
425,2024-01-01,6,12,29,1,51977.21,2.50,PROJECT
426,2024-01-01,6,12,30,1,53417.44,2.80,PROJECT
427,2024-01-01,6,12,31,1,53682.67,3.10,PROJECT
428,2024-01-01,6,12,32,1,56147.90,3.50,SEASONAL
429,2024-01-01,6,12,33,1,57413.13,3.25,SEASONAL
430,2024-01-01,6,12,34,1,58128.37,1.75,PROJECT
431,2024-01-01,6,12,35,1,59243.60,2.15,TREND
432,2024-01-01,6,12,36,1,60458.83,3.70,TREND
433,2024-01-01,7,13,1,1,38711.40,2.75,TREND
434,2024-01-01,7,13,2,1,43375.21,1.85,TREND
435,2024-01-01,7,13,3,1,48014.03,2.40,PROJECT
436,2024-01-01,7,13,4,1,51377.85,3.00,TREND
437,2024-01-01,7,13,5,1,57241.66,3.85,TREND
438,2024-01-01,7,13,6,1,61080.48,2.65,TREND
439,2024-01-01,7,13,7,1,65844.29,3.15,BASE
440,2024-01-01,7,13,8,1,70683.11,3.20,BASE
441,2024-01-01,7,13,9,1,75296.93,3.80,BASE
442,2024-01-01,7,13,10,1,45820.42,2.10,BASE
443,2024-01-01,7,13,11,1,47971.18,3.85,TREND
444,2024-01-01,7,13,12,1,50371.93,3.25,PROJECT
