BudgetKey,Date,DepartmentKey,AccountKey,ScenarioKey,BudgetAmount,BudgetFTE
317,2024-01-01,9,29,2,45998.20,3.70
318,2024-01-01,9,30,2,47100.20,4.30
319,2024-01-01,9,31,2,48202.20,4.20
320,2024-01-01,9,32,2,49229.20,4.30
321,2024-01-01,9,33,2,50056.20,3.50
322,2024-01-01,9,34,2,51608.20,2.85
323,2024-01-01,9,35,2,52085.20,4.25
324,2024-01-01,9,36,2,53362.20,2.95
325,2024-01-01,10,1,2,36775.00,1.05
326,2024-01-01,10,2,2,39545.00,2.10
327,2024-01-01,10,3,2,42215.00,1.35
328,2024-01-01,10,4,2,45185.00,0.95
329,2024-01-01,10,5,2,49480.00,2.10
330,2024-01-01,10,6,2,51700.00,1.00
331,2024-01-01,10,7,2,55320.00,2.55
332,2024-01-01,10,8,2,57690.00,1.80
333,2024-01-01,10,9,2,61735.00,2.55
334,2024-01-01,10,10,2,37990.00,1.50
335,2024-01-01,10,11,2,40300.00,1.70
336,2024-01-01,10,12,2,41960.00,1.35
337,2024-01-01,10,13,2,43370.00,1.75
338,2024-01-01,10,14,2,46530.00,1.00
339,2024-01-01,10,15,2,48090.00,1.05
340,2024-01-01,10,16,2,49975.00,1.55
341,2024-01-01,10,17,2,51335.00,2.30
342,2024-01-01,10,18,2,53145.00,1.20
343,2024-01-01,10,19,2,41883.00,1.75
344,2024-01-01,10,20,2,42799.00,1.00
345,2024-01-01,10,21,2,44965.00,1.75
346,2024-01-01,10,22,2,45881.00,1.40
347,2024-01-01,10,23,2,47697.00,1.65
348,2024-01-01,10,24,2,48463.00,1.60
349,2024-01-01,10,25,2,50654.00,1.05
350,2024-01-01,10,26,2,51345.00,2.50
351,2024-01-01,10,27,2,53086.00,2.45
352,2024-01-01,10,28,2,44094.00,0.85
353,2024-01-01,10,29,2,45621.00,2.25
354,2024-01-01,10,30,2,47473.00,2.35
355,2024-01-01,10,31,2,47750.00,1.55
356,2024-01-01,10,32,2,49002.00,2.20
357,2024-01-01,10,33,2,49679.00,1.25
358,2024-01-01,10,34,2,50856.00,1.70
359,2024-01-01,10,35,2,53158.00,1.80
360,2024-01-01,10,36,2,53960.00,1.55
361,2024-02-01,1,1,2,32238.00,1.65
362,2024-02-01,1,2,2,35633.00,1.55
363,2024-02-01,1,3,2,38653.00,1.85
364,2024-02-01,1,4,2,41423.00,2.50
365,2024-02-01,1,5,2,44118.00,2.05
366,2024-02-01,1,6,2,47988.00,1.70
367,2024-02-01,1,7,2,51183.00,2.15
368,2024-02-01,1,8,2,54403.00,2.35
369,2024-02-01,1,9,2,57423.00,1.90
370,2024-02-01,1,10,2,35729.00,2.80
371,2024-02-01,1,11,2,37639.00,2.45
372,2024-02-01,1,12,2,39549.00,2.50
373,2024-02-01,1,13,2,41334.00,1.40
374,2024-02-01,1,14,2,43269.00,2.95
375,2024-02-01,1,15,2,45404.00,2.40
376,2024-02-01,1,16,2,46464.00,2.60
377,2024-02-01,1,17,2,48449.00,2.35
378,2024-02-01,1,18,2,51059.00,2.15
379,2024-02-01,1,19,2,40596.40,1.85
380,2024-02-01,1,20,2,40987.40,2.10
381,2024-02-01,1,21,2,42853.40,2.95
382,2024-02-01,1,22,2,44069.40,2.90
383,2024-02-01,1,23,2,45735.40,2.45
384,2024-02-01,1,24,2,47751.40,2.80
385,2024-02-01,1,25,2,48317.40,1.60
386,2024-02-01,1,26,2,50558.40,2.95
387,2024-02-01,1,27,2,51174.40,1.95
388,2024-02-01,1,28,2,43388.80,2.70
389,2024-02-01,1,29,2,44065.80,1.40
390,2024-02-01,1,30,2,45267.80,2.65
391,2024-02-01,1,31,2,46169.80,1.75
392,2024-02-01,1,32,2,47821.80,2.60
393,2024-02-01,1,33,2,48823.80,2.30
394,2024-02-01,1,34,2,50475.80,1.70
395,2024-02-01,1,35,2,51252.80,2.10
396,2024-02-01,1,36,2,51904.80,2.35
397,2024-02-01,2,1,2,32556.00,1.80
398,2024-02-01,2,2,2,36301.00,1.80
399,2024-02-01,2,3,2,39421.00,3.05
400,2024-02-01,2,4,2,41416.00,1.85
401,2024-02-01,2,5,2,45186.00,3.15
402,2024-02-01,2,6,2,48756.00,2.45
403,2024-02-01,2,7,2,51776.00,2.95
404,2024-02-01,2,8,2,54571.00,2.50
405,2024-02-01,2,9,2,57816.00,1.85
406,2024-02-01,2,10,2,36108.00,2.00
407,2024-02-01,2,11,2,37843.00,2.50
408,2024-02-01,2,12,2,40328.00,2.65
409,2024-02-01,2,13,2,42338.00,2.15
410,2024-02-01,2,14,2,43448.00,2.20
411,2024-02-01,2,15,2,45308.00,2.20
412,2024-02-01,2,16,2,47318.00,3.20
413,2024-02-01,2,17,2,49253.00,3.45
414,2024-02-01,2,18,2,51388.00,2.05
415,2024-02-01,2,19,2,40308.80,3.50
416,2024-02-01,2,20,2,42049.80,2.95
417,2024-02-01,2,21,2,43390.80,2.40
418,2024-02-01,2,22,2,44031.80,2.90
419,2024-02-01,2,23,2,45972.80,2.20
420,2024-02-01,2,24,2,47238.80,3.10
421,2024-02-01,2,25,2,49254.80,3.10
422,2024-02-01,2,26,2,50795.80,3.20
423,2024-02-01,2,27,2,52036.80,2.65
424,2024-02-01,2,28,2,43736.60,1.85
425,2024-02-01,2,29,2,44313.60,3.20
426,2024-02-01,2,30,2,46015.60,2.10
427,2024-02-01,2,31,2,46942.60,2.35
428,2024-02-01,2,32,2,47894.60,2.90
429,2024-02-01,2,33,2,49221.60,3.25
430,2024-02-01,2,34,2,50573.60,1.75
431,2024-02-01,2,35,2,51350.60,2.85
432,2024-02-01,2,36,2,52927.60,2.85
433,2024-02-01,3,1,2,32824.00,3.05
434,2024-02-01,3,2,2,36094.00,2.50
435,2024-02-01,3,3,2,38739.00,3.90
436,2024-02-01,3,4,2,42959.00,3.05
437,2024-02-01,3,5,2,46204.00,2.85
438,2024-02-01,3,6,2,48374.00,2.35
439,2024-02-01,3,7,2,52394.00,3.15
440,2024-02-01,3,8,2,54789.00,3.90
441,2024-02-01,3,9,2,58084.00,3.75
442,2024-02-01,3,10,2,37087.00,3.90
443,2024-02-01,3,11,2,38472.00,2.60
444,2024-02-01,3,12,2,39657.00,2.20
445,2024-02-01,3,13,2,42067.00,2.95
446,2024-02-01,3,14,2,43452.00,3.25
447,2024-02-01,3,15,2,45762.00,3.05
448,2024-02-01,3,16,2,48247.00,3.15
449,2024-02-01,3,17,2,49607.00,3.75
450,2024-02-01,3,18,2,50967.00,3.80
451,2024-02-01,3,19,2,40421.20,2.30
452,2024-02-01,3,20,2,42312.20,2.70
453,2024-02-01,3,21,2,43478.20,2.85
454,2024-02-01,3,22,2,45319.20,2.55
455,2024-02-01,3,23,2,45635.20,3.10
456,2024-02-01,3,24,2,48251.20,3.30
457,2024-02-01,3,25,2,48667.20,3.40
458,2024-02-01,3,26,2,50283.20,3.95
459,2024-02-01,3,27,2,52449.20,2.90
460,2024-02-01,3,28,2,43534.40,3.90
461,2024-02-01,3,29,2,44236.40,2.15
462,2024-02-01,3,30,2,45988.40,3.90
463,2024-02-01,3,31,2,46765.40,3.75
464,2024-02-01,3,32,2,47692.40,2.25
465,2024-02-01,3,33,2,49544.40,2.30
466,2024-02-01,3,34,2,49796.40,2.60
467,2024-02-01,3,35,2,51973.40,2.85
468,2024-02-01,3,36,2,53200.40,3.35
469,2024-02-01,4,1,2,33867.00,4.35
470,2024-02-01,4,2,2,36262.00,3.30
471,2024-02-01,4,3,2,39932.00,3.70
472,2024-02-01,4,4,2,42977.00,3.55
473,2024-02-01,4,5,2,46547.00,3.90
474,2024-02-01,4,6,2,49042.00,3.00
475,2024-02-01,4,7,2,52787.00,3.15
476,2024-02-01,4,8,2,55057.00,4.40
477,2024-02-01,4,9,2,58127.00,4.00
478,2024-02-01,4,10,2,36991.00,3.10
479,2024-02-01,4,11,2,38476.00,4.10
480,2024-02-01,4,12,2,40811.00,4.35
481,2024-02-01,4,13,2,42746.00,3.80
482,2024-02-01,4,14,2,43831.00,4.40
483,2024-02-01,4,15,2,46241.00,3.35
484,2024-02-01,4,16,2,48251.00,3.70
485,2024-02-01,4,17,2,50286.00,2.65
486,2024-02-01,4,18,2,51271.00,3.65
487,2024-02-01,4,19,2,41258.60,3.95
488,2024-02-01,4,20,2,42299.60,3.85
489,2024-02-01,4,21,2,43165.60,3.85
490,2024-02-01,4,22,2,45556.60,4.25
491,2024-02-01,4,23,2,46672.60,4.10
492,2024-02-01,4,24,2,47213.60,3.75
493,2024-02-01,4,25,2,49479.60,4.05
494,2024-02-01,4,26,2,51145.60,4.35
495,2024-02-01,4,27,2,52086.60,3.00
496,2024-02-01,4,28,2,43057.20,3.90
497,2024-02-01,4,29,2,44434.20,4.25
498,2024-02-01,4,30,2,46211.20,3.35
499,2024-02-01,4,31,2,46388.20,2.90
500,2024-02-01,4,32,2,47640.20,2.85
501,2024-02-01,4,33,2,49017.20,4.25
502,2024-02-01,4,34,2,49969.20,3.00
503,2024-02-01,4,35,2,51521.20,2.65
504,2024-02-01,4,36,2,52223.20,4.30
505,2024-02-01,5,1,2,33435.00,2.35
506,2024-02-01,5,2,2,36980.00,0.95
507,2024-02-01,5,3,2,40675.00,1.30
508,2024-02-01,5,4,2,43620.00,1.85
509,2024-02-01,5,5,2,46790.00,2.35
510,2024-02-01,5,6,2,49510.00,1.45
511,2024-02-01,5,7,2,52130.00,2.55
512,2024-02-01,5,8,2,55450.00,2.60
513,2024-02-01,5,9,2,58420.00,2.50
514,2024-02-01,5,10,2,37170.00,2.10
515,2024-02-01,5,11,2,38930.00,1.55
516,2024-02-01,5,12,2,40190.00,2.20
517,2024-02-01,5,13,2,42175.00,2.45
518,2024-02-01,5,14,2,43835.00,2.20
519,2024-02-01,5,15,2,46995.00,1.60
520,2024-02-01,5,16,2,47930.00,2.40
521,2024-02-01,5,17,2,49565.00,1.10
522,2024-02-01,5,18,2,51275.00,1.35
523,2024-02-01,5,19,2,40571.00,1.65
524,2024-02-01,5,20,2,42112.00,2.25
525,2024-02-01,5,21,2,43828.00,2.00
526,2024-02-01,5,22,2,45169.00,0.90
527,2024-02-01,5,23,2,46335.00,1.50
528,2024-02-01,5,24,2,48201.00,2.25
529,2024-02-01,5,25,2,49542.00,2.45
530,2024-02-01,5,26,2,51508.00,2.25
531,2024-02-01,5,27,2,52199.00,1.05
532,2024-02-01,5,28,2,43155.00,1.10
533,2024-02-01,5,29,2,44307.00,1.70
534,2024-02-01,5,30,2,46409.00,1.35
535,2024-02-01,5,31,2,47161.00,2.15
536,2024-02-01,5,32,2,47663.00,1.45
537,2024-02-01,5,33,2,49690.00,2.45
538,2024-02-01,5,34,2,50967.00,1.20
539,2024-02-01,5,35,2,51894.00,1.60
540,2024-02-01,5,36,2,53396.00,2.15
541,2024-02-01,6,1,2,34428.00,1.30
542,2024-02-01,6,2,2,37548.00,2.85
543,2024-02-01,6,3,2,40418.00,1.30
544,2024-02-01,6,4,2,44263.00,3.05
545,2024-02-01,6,5,2,47208.00,1.85
546,2024-02-01,6,6,2,50503.00,2.90
547,2024-02-01,6,7,2,52673.00,1.35
548,2024-02-01,6,8,2,56768.00,2.90
549,2024-02-01,6,9,2,59788.00,1.75
550,2024-02-01,6,10,2,37874.00,1.75
551,2024-02-01,6,11,2,39384.00,1.95
552,2024-02-01,6,12,2,40719.00,1.40
553,2024-02-01,6,13,2,43254.00,1.45
554,2024-02-01,6,14,2,45364.00,1.35
555,2024-02-01,6,15,2,46524.00,1.25
556,2024-02-01,6,16,2,48359.00,2.25
557,2024-02-01,6,17,2,49919.00,2.90
558,2024-02-01,6,18,2,52729.00,2.05
559,2024-02-01,6,19,2,41008.40,1.55
560,2024-02-01,6,20,2,42499.40,1.80
561,2024-02-01,6,21,2,44065.40,1.60
562,2024-02-01,6,22,2,44756.40,1.60
563,2024-02-01,6,23,2,47147.40,2.45
564,2024-02-01,6,24,2,48113.40,1.30
565,2024-02-01,6,25,2,49404.40,2.25
566,2024-02-01,6,26,2,50645.40,2.20
567,2024-02-01,6,27,2,51836.40,1.35
568,2024-02-01,6,28,2,43552.80,1.60
569,2024-02-01,6,29,2,45579.80,2.90
570,2024-02-01,6,30,2,45681.80,2.20
571,2024-02-01,6,31,2,46883.80,1.70
572,2024-02-01,6,32,2,48535.80,2.25
573,2024-02-01,6,33,2,50187.80,2.90
574,2024-02-01,6,34,2,50589.80,1.45
575,2024-02-01,6,35,2,52016.80,1.60
576,2024-02-01,6,36,2,52468.80,2.70
577,2024-02-01,7,1,2,34771.00,2.50
578,2024-02-01,7,2,2,38116.00,2.40
579,2024-02-01,7,3,2,41686.00,1.80
