ForecastKey,Date,DepartmentKey,AccountKey,ScenarioKey,ForecastAmount
93,2024-01-01,3,21,3,42363.64
94,2024-01-01,3,22,3,44118.82
95,2024-01-01,3,23,3,45384.00
96,2024-01-01,3,24,3,48797.49
97,2024-01-01,3,25,3,49592.20
98,2024-01-01,3,26,3,51456.95
99,2024-01-01,3,27,3,52274.18
100,2024-01-01,3,28,3,43818.59
101,2024-01-01,3,29,3,43449.67
102,2024-01-01,3,30,3,43760.00
103,2024-01-01,3,31,3,46026.09
104,2024-01-01,3,32,3,47642.40
105,2024-01-01,3,33,3,51185.23
106,2024-01-01,3,34,3,49127.01
107,2024-01-01,3,35,3,50737.93
108,2024-01-01,3,36,3,52772.90
109,2024-01-01,4,1,3,34028.92
110,2024-01-01,4,2,3,35610.26
111,2024-01-01,4,3,3,40357.00
112,2024-01-01,4,4,3,43377.54
113,2024-01-01,4,5,3,45388.53
114,2024-01-01,4,6,3,49589.34
115,2024-01-01,4,7,3,51219.63
116,2024-01-01,4,8,3,57300.96
117,2024-01-01,4,9,3,57086.96
118,2024-01-01,4,10,3,37225.23
119,2024-01-01,4,11,3,38876.00
120,2024-01-01,4,12,3,40204.89
121,2024-01-01,4,13,3,41499.08
122,2024-01-01,4,14,3,43934.38
123,2024-01-01,4,15,3,45841.00
124,2024-01-01,4,16,3,48885.01
125,2024-01-01,4,17,3,51113.22
126,2024-01-01,4,18,3,52933.92
127,2024-01-01,4,19,3,41008.60
128,2024-01-01,4,20,3,41845.61
129,2024-01-01,4,21,3,43925.51
130,2024-01-01,4,22,3,45957.73
131,2024-01-01,4,23,3,47248.78
132,2024-01-01,4,24,3,48463.87
133,2024-01-01,4,25,3,49279.60
134,2024-01-01,4,26,3,49583.69
135,2024-01-01,4,27,3,53237.20
136,2024-01-01,4,28,3,44224.34
137,2024-01-01,4,29,3,44385.86
138,2024-01-01,4,30,3,45586.20
139,2024-01-01,4,31,3,45481.55
140,2024-01-01,4,32,3,48874.10
141,2024-01-01,4,33,3,48526.86
142,2024-01-01,4,34,3,49214.82
143,2024-01-01,4,35,3,50921.20
144,2024-01-01,4,36,3,51570.74
145,2024-01-01,5,1,3,34205.70
146,2024-01-01,5,2,3,36730.00
147,2024-01-01,5,3,3,39430.50
148,2024-01-01,5,4,3,42614.55
149,2024-01-01,5,5,3,46544.85
150,2024-01-01,5,6,3,48121.70
151,2024-01-01,5,7,3,51880.95
152,2024-01-01,5,8,3,57528.00
153,2024-01-01,5,9,3,59690.40
154,2024-01-01,5,10,3,35961.10
155,2024-01-01,5,11,3,38392.20
156,2024-01-01,5,12,3,39736.05
157,2024-01-01,5,13,3,43044.00
158,2024-01-01,5,14,3,44904.60
159,2024-01-01,5,15,3,47889.85
160,2024-01-01,5,16,3,46855.85
161,2024-01-01,5,17,3,50190.00
162,2024-01-01,5,18,3,51625.00
163,2024-01-01,5,19,3,40739.58
164,2024-01-01,5,20,3,41539.26
165,2024-01-01,5,21,3,44128.00
166,2024-01-01,5,22,3,44682.12
167,2024-01-01,5,23,3,46314.80
168,2024-01-01,5,24,3,48833.52
169,2024-01-01,5,25,3,51093.84
170,2024-01-01,5,26,3,50428.84
171,2024-01-01,5,27,3,53548.98
172,2024-01-01,5,28,3,42175.60
173,2024-01-01,5,29,3,43494.36
174,2024-01-01,5,30,3,46620.59
175,2024-01-01,5,31,3,47060.64
176,2024-01-01,5,32,3,48973.26
177,2024-01-01,5,33,3,50148.30
178,2024-01-01,5,34,3,49704.74
179,2024-01-01,5,35,3,53888.57
180,2024-01-01,5,36,3,54611.63
181,2024-01-01,6,1,3,34503.00
182,2024-01-01,6,2,3,37370.52
183,2024-01-01,6,3,3,41251.43
184,2024-01-01,6,4,3,45822.64
185,2024-01-01,6,5,3,47748.74
186,2024-01-01,6,6,3,50096.97
187,2024-01-01,6,7,3,53273.00
188,2024-01-01,6,8,3,55044.64
189,2024-01-01,6,9,3,58988.00
190,2024-01-01,6,10,3,36901.26
191,2024-01-01,6,11,3,39121.34
192,2024-01-01,6,12,3,42017.88
193,2024-01-01,6,13,3,41350.13
194,2024-01-01,6,14,3,45251.28
195,2024-01-01,6,15,3,47443.74
196,2024-01-01,6,16,3,49377.18
197,2024-01-01,6,17,3,49367.18
198,2024-01-01,6,18,3,52661.58
199,2024-01-01,6,19,3,41458.40
200,2024-01-01,6,20,3,43555.64
201,2024-01-01,6,21,3,44884.80
202,2024-01-01,6,22,3,45481.71
203,2024-01-01,6,23,3,46230.43
204,2024-01-01,6,24,3,48820.67
205,2024-01-01,6,25,3,50417.99
206,2024-01-01,6,26,3,50920.40
207,2024-01-01,6,27,3,52073.67
208,2024-01-01,6,28,3,44745.83
209,2024-01-01,6,29,3,44084.50
210,2024-01-01,6,30,3,45405.16
211,2024-01-01,6,31,3,46313.62
212,2024-01-01,6,32,3,47883.58
213,2024-01-01,6,33,3,49212.80
214,2024-01-01,6,34,3,50019.00
215,2024-01-01,6,35,3,50626.05
216,2024-01-01,6,36,3,53397.49
217,2024-01-01,7,1,3,35633.88
218,2024-01-01,7,2,3,38770.23
219,2024-01-01,7,3,3,43065.33
220,2024-01-01,7,4,3,44345.06
221,2024-01-01,7,5,3,46134.48
222,2024-01-01,7,6,3,51246.00
223,2024-01-01,7,7,3,52758.09
224,2024-01-01,7,8,3,57656.86
225,2024-01-01,7,9,3,59881.00
226,2024-01-01,7,10,3,36862.91
227,2024-01-01,7,11,3,40054.64
228,2024-01-01,7,12,3,40594.54
229,2024-01-01,7,13,3,42958.00
230,2024-01-01,7,14,3,45236.07
231,2024-01-01,7,15,3,47917.56
232,2024-01-01,7,16,3,48563.00
233,2024-01-01,7,17,3,51735.23
234,2024-01-01,7,18,3,52508.00
235,2024-01-01,7,19,3,39911.43
236,2024-01-01,7,20,3,42004.56
237,2024-01-01,7,21,3,43587.52
238,2024-01-01,7,22,3,46684.18
239,2024-01-01,7,23,3,45357.01
240,2024-01-01,7,24,3,47288.28
241,2024-01-01,7,25,3,51440.05
242,2024-01-01,7,26,3,52872.78
243,2024-01-01,7,27,3,53225.79
244,2024-01-01,7,28,3,44450.60
245,2024-01-01,7,29,3,46361.65
246,2024-01-01,7,30,3,45376.21
247,2024-01-01,7,31,3,46614.90
248,2024-01-01,7,32,3,47126.09
249,2024-01-01,7,33,3,48607.28
250,2024-01-01,7,34,3,50304.47
251,2024-01-01,7,35,3,53488.39
252,2024-01-01,7,36,3,54484.93
253,2024-01-01,8,1,3,36785.28
254,2024-01-01,8,2,3,40205.02
255,2024-01-01,8,3,3,40428.92
256,2024-01-01,8,4,3,45174.00
257,2024-01-01,8,5,3,47009.62
258,2024-01-01,8,6,3,50107.86
259,2024-01-01,8,7,3,55155.09
260,2024-01-01,8,8,3,58559.62
261,2024-01-01,8,9,3,62700.22
262,2024-01-01,8,10,3,38690.07
263,2024-01-01,8,11,3,41097.84
264,2024-01-01,8,12,3,42408.54
265,2024-01-01,8,13,3,44353.86
266,2024-01-01,8,14,3,46381.44
267,2024-01-01,8,15,3,48700.46
268,2024-01-01,8,16,3,48428.66
269,2024-01-01,8,17,3,51282.54
270,2024-01-01,8,18,3,53868.24
271,2024-01-01,8,19,3,41168.04
272,2024-01-01,8,20,3,41830.47
273,2024-01-01,8,21,3,43921.55
274,2024-01-01,8,22,3,47257.82
275,2024-01-01,8,23,3,45708.53
276,2024-01-01,8,24,3,49840.46
277,2024-01-01,8,25,3,51488.78
278,2024-01-01,8,26,3,51353.65
279,2024-01-01,8,27,3,53918.42
280,2024-01-01,8,28,3,43923.40
281,2024-01-01,8,29,3,43747.39
282,2024-01-01,8,30,3,46927.40
283,2024-01-01,8,31,3,47004.40
284,2024-01-01,8,32,3,50656.84
285,2024-01-01,8,33,3,50988.23
286,2024-01-01,8,34,3,51085.40
287,2024-01-01,8,35,3,52387.40
288,2024-01-01,8,36,3,53870.69
289,2024-01-01,9,1,3,35382.00
290,2024-01-01,9,2,3,37633.96
291,2024-01-01,9,3,3,42294.78
292,2024-01-01,9,4,3,43472.49
293,2024-01-01,9,5,3,48662.00
294,2024-01-01,9,6,3,51932.00
295,2024-01-01,9,7,3,52551.69
296,2024-01-01,9,8,3,58602.22
297,2024-01-01,9,9,3,59986.08
298,2024-01-01,9,10,3,38315.36
299,2024-01-01,9,11,3,38383.87
300,2024-01-01,9,12,3,40871.88
301,2024-01-01,9,13,3,44632.91
302,2024-01-01,9,14,3,44790.72
303,2024-01-01,9,15,3,48180.72
304,2024-01-01,9,16,3,49372.29
305,2024-01-01,9,17,3,49838.88
306,2024-01-01,9,18,3,53154.09
307,2024-01-01,9,19,3,40837.19
308,2024-01-01,9,20,3,43286.60
309,2024-01-01,9,21,3,43759.55
310,2024-01-01,9,22,3,45195.79
311,2024-01-01,9,23,3,45914.56
312,2024-01-01,9,24,3,48339.09
313,2024-01-01,9,25,3,49530.77
314,2024-01-01,9,26,3,50036.45
315,2024-01-01,9,27,3,53553.84
316,2024-01-01,9,28,3,44171.20
317,2024-01-01,9,29,3,44618.25
318,2024-01-01,9,30,3,47100.20
319,2024-01-01,9,31,3,46756.13
320,2024-01-01,9,32,3,49721.49
321,2024-01-01,9,33,3,48554.51
322,2024-01-01,9,34,3,52124.28
323,2024-01-01,9,35,3,51564.35
324,2024-01-01,9,36,3,51761.33
325,2024-01-01,10,1,3,35671.75
326,2024-01-01,10,2,3,39149.55
327,2024-01-01,10,3,3,42215.00
328,2024-01-01,10,4,3,44281.30
329,2024-01-01,10,5,3,47995.60
330,2024-01-01,10,6,3,50666.00
331,2024-01-01,10,7,3,56979.60
332,2024-01-01,10,8,3,58843.80
333,2024-01-01,10,9,3,62352.35
334,2024-01-01,10,10,3,36850.30
335,2024-01-01,10,11,3,41106.00
336,2024-01-01,10,12,3,41960.00
337,2024-01-01,10,13,3,44671.10
338,2024-01-01,10,14,3,45134.10
339,2024-01-01,10,15,3,47128.20
340,2024-01-01,10,16,3,50474.75
341,2024-01-01,10,17,3,52361.70
342,2024-01-01,10,18,3,51550.65
343,2024-01-01,10,19,3,41883.00
344,2024-01-01,10,20,3,44082.97
345,2024-01-01,10,21,3,45864.30
346,2024-01-01,10,22,3,46798.62
347,2024-01-01,10,23,3,47697.00
348,2024-01-01,10,24,3,49916.89
349,2024-01-01,10,25,3,51160.54
350,2024-01-01,10,26,3,51858.45
351,2024-01-01,10,27,3,51493.42
352,2024-01-01,10,28,3,44094.00
353,2024-01-01,10,29,3,46533.42
354,2024-01-01,10,30,3,46998.27
355,2024-01-01,10,31,3,46317.50
356,2024-01-01,10,32,3,49982.04
357,2024-01-01,10,33,3,49182.21
358,2024-01-01,10,34,3,50856.00
359,2024-01-01,10,35,3,52094.84
360,2024-01-01,10,36,3,52341.20
361,2024-02-01,1,1,3,32882.76
362,2024-02-01,1,2,3,34920.34
363,2024-02-01,1,3,3,38653.00
364,2024-02-01,1,4,3,41837.23
365,2024-02-01,1,5,3,43235.64
366,2024-02-01,1,6,3,48947.76
367,2024-02-01,1,7,3,51183.00
368,2024-02-01,1,8,3,53858.97
369,2024-02-01,1,9,3,55700.31
370,2024-02-01,1,10,3,35371.71
371,2024-02-01,1,11,3,38015.39
372,2024-02-01,1,12,3,40339.98
373,2024-02-01,1,13,3,41334.00
374,2024-02-01,1,14,3,44567.07
375,2024-02-01,1,15,3,46312.08
376,2024-02-01,1,16,3,47393.28
377,2024-02-01,1,17,3,46995.53
378,2024-02-01,1,18,3,51569.59
379,2024-02-01,1,19,3,41814.29
380,2024-02-01,1,20,3,41807.15
381,2024-02-01,1,21,3,43281.93
382,2024-02-01,1,22,3,44510.09
383,2024-02-01,1,23,3,45735.40
384,2024-02-01,1,24,3,47273.89
385,2024-02-01,1,25,3,49283.75
386,2024-02-01,1,26,3,51569.57
387,2024-02-01,1,27,3,51686.14
388,2024-02-01,1,28,3,42954.91
389,2024-02-01,1,29,3,43625.14
390,2024-02-01,1,30,3,44815.12
391,2024-02-01,1,31,3,45246.40
392,2024-02-01,1,32,3,49256.45
393,2024-02-01,1,33,3,47359.09
394,2024-02-01,1,34,3,51485.32
395,2024-02-01,1,35,3,51765.33
396,2024-02-01,1,36,3,52423.85
397,2024-02-01,2,1,3,31904.88
398,2024-02-01,2,2,3,35211.97
399,2024-02-01,2,3,3,39421.00
400,2024-02-01,2,4,3,41830.16
401,2024-02-01,2,5,3,46089.72
402,2024-02-01,2,6,3,47780.88
403,2024-02-01,2,7,3,50222.72
404,2024-02-01,2,8,3,54025.29
405,2024-02-01,2,9,3,59550.48
406,2024-02-01,2,10,3,36108.00
407,2024-02-01,2,11,3,38599.86
408,2024-02-01,2,12,3,41134.56
409,2024-02-01,2,13,3,41067.86
410,2024-02-01,2,14,3,43013.52
411,2024-02-01,2,15,3,46667.24
412,2024-02-01,2,16,3,46371.64
413,2024-02-01,2,17,3,48760.47
414,2024-02-01,2,18,3,52415.76
415,2024-02-01,2,19,3,39905.71
416,2024-02-01,2,20,3,42470.30
417,2024-02-01,2,21,3,44258.62
418,2024-02-01,2,22,3,44912.44
419,2024-02-01,2,23,3,45053.34
420,2024-02-01,2,24,3,47238.80
421,2024-02-01,2,25,3,47777.16
422,2024-02-01,2,26,3,50287.84
423,2024-02-01,2,27,3,51516.43
424,2024-02-01,2,28,3,42424.50
425,2024-02-01,2,29,3,45643.01
426,2024-02-01,2,30,3,46015.60
427,2024-02-01,2,31,3,47412.03
428,2024-02-01,2,32,3,49331.44
429,2024-02-01,2,33,3,50698.25
430,2024-02-01,2,34,3,52090.81
431,2024-02-01,2,35,3,52377.61
432,2024-02-01,2,36,3,52927.60
433,2024-02-01,3,1,3,32495.76
434,2024-02-01,3,2,3,37176.82
435,2024-02-01,3,3,3,37964.22
436,2024-02-01,3,4,3,42099.82
437,2024-02-01,3,5,3,46204.00
438,2024-02-01,3,6,3,47406.52
439,2024-02-01,3,7,3,50822.18
440,2024-02-01,3,8,3,53693.22
441,2024-02-01,3,9,3,56341.48
442,2024-02-01,3,10,3,38199.61
443,2024-02-01,3,11,3,37702.56
444,2024-02-01,3,12,3,39260.43
445,2024-02-01,3,13,3,42908.34
446,2024-02-01,3,14,3,43017.48
447,2024-02-01,3,15,3,45762.00
448,2024-02-01,3,16,3,48247.00
449,2024-02-01,3,17,3,51095.21
450,2024-02-01,3,18,3,51476.67
451,2024-02-01,3,19,3,40421.20
452,2024-02-01,3,20,3,41042.83
453,2024-02-01,3,21,3,43043.42
454,2024-02-01,3,22,3,43959.62
455,2024-02-01,3,23,3,46091.55
456,2024-02-01,3,24,3,48251.20
457,2024-02-01,3,25,3,48180.53
458,2024-02-01,3,26,3,51791.70
459,2024-02-01,3,27,3,53498.18
460,2024-02-01,3,28,3,42663.71
461,2024-02-01,3,29,3,43794.04
462,2024-02-01,3,30,3,47368.05
463,2024-02-01,3,31,3,45362.44
464,2024-02-01,3,32,3,47215.48
465,2024-02-01,3,33,3,49544.40
466,2024-02-01,3,34,3,50294.36
467,2024-02-01,3,35,3,51973.40
468,2024-02-01,3,36,3,53732.40
469,2024-02-01,4,1,3,34883.01
470,2024-02-01,4,2,3,35899.38
471,2024-02-01,4,3,3,40331.32
472,2024-02-01,4,4,3,41687.69
473,2024-02-01,4,5,3,46547.00
474,2024-02-01,4,6,3,50022.84
475,2024-02-01,4,7,3,51731.26
476,2024-02-01,4,8,3,54506.43
477,2024-02-01,4,9,3,59289.54
478,2024-02-01,4,10,3,36991.00
479,2024-02-01,4,11,3,39245.52
480,2024-02-01,4,12,3,40811.00
481,2024-02-01,4,13,3,41463.62
482,2024-02-01,4,14,3,43831.00
483,2024-02-01,4,15,3,45316.18
484,2024-02-01,4,16,3,47768.49
485,2024-02-01,4,17,3,51291.72
486,2024-02-01,4,18,3,49732.87
487,2024-02-01,4,19,3,41671.19
488,2024-02-01,4,20,3,43568.59
489,2024-02-01,4,21,3,42733.94
490,2024-02-01,4,22,3,45101.03
491,2024-02-01,4,23,3,48072.78
492,2024-02-01,4,24,3,45797.19
493,2024-02-01,4,25,3,47995.21
494,2024-02-01,4,26,3,52679.97
495,2024-02-01,4,27,3,51565.73
496,2024-02-01,4,28,3,43918.34
497,2024-02-01,4,29,3,43101.17
498,2024-02-01,4,30,3,44824.86
499,2024-02-01,4,31,3,47315.96
500,2024-02-01,4,32,3,47640.20
501,2024-02-01,4,33,3,50487.72
502,2024-02-01,4,34,3,48470.12
503,2024-02-01,4,35,3,49975.56
504,2024-02-01,4,36,3,52223.20
505,2024-02-01,5,1,3,34103.70
506,2024-02-01,5,2,3,37349.80
507,2024-02-01,5,3,3,41488.50
508,2024-02-01,5,4,3,43183.80
509,2024-02-01,5,5,3,46322.10
510,2024-02-01,5,6,3,48519.80
511,2024-02-01,5,7,3,53172.60
512,2024-02-01,5,8,3,54895.50
513,2024-02-01,5,9,3,56667.40
514,2024-02-01,5,10,3,37913.40
515,2024-02-01,5,11,3,38930.00
516,2024-02-01,5,12,3,39386.20
517,2024-02-01,5,13,3,42175.00
518,2024-02-01,5,14,3,44273.35
519,2024-02-01,5,15,3,45585.15
520,2024-02-01,5,16,3,48409.30
521,2024-02-01,5,17,3,48573.70
522,2024-02-01,5,18,3,50249.50
523,2024-02-01,5,19,3,40165.29
524,2024-02-01,5,20,3,42533.12
525,2024-02-01,5,21,3,44266.28
526,2024-02-01,5,22,3,45169.00
527,2024-02-01,5,23,3,45871.65
528,2024-02-01,5,24,3,47718.99
529,2024-02-01,5,25,3,49542.00
530,2024-02-01,5,26,3,52538.16
531,2024-02-01,5,27,3,51677.01
532,2024-02-01,5,28,3,42723.45
533,2024-02-01,5,29,3,44307.00
534,2024-02-01,5,30,3,45016.73
535,2024-02-01,5,31,3,48575.83
536,2024-02-01,5,32,3,47186.37
537,2024-02-01,5,33,3,49193.10
538,2024-02-01,5,34,3,49947.66
539,2024-02-01,5,35,3,51894.00
540,2024-02-01,5,36,3,51794.12
541,2024-02-01,6,1,3,34428.00
542,2024-02-01,6,2,3,38298.96
543,2024-02-01,6,3,3,39609.64
544,2024-02-01,6,4,3,45148.26
545,2024-02-01,6,5,3,46263.84
546,2024-02-01,6,6,3,48987.91
547,2024-02-01,6,7,3,53199.73
548,2024-02-01,6,8,3,58471.04
549,2024-02-01,6,9,3,58592.24
550,2024-02-01,6,10,3,39010.22
551,2024-02-01,6,11,3,40171.68
552,2024-02-01,6,12,3,40311.81
553,2024-02-01,6,13,3,42821.46
554,2024-02-01,6,14,3,44003.08
555,2024-02-01,6,15,3,46058.76
556,2024-02-01,6,16,3,46908.23
557,2024-02-01,6,17,3,48421.43
558,2024-02-01,6,18,3,54310.87
559,2024-02-01,6,19,3,41418.48
560,2024-02-01,6,20,3,41224.42
561,2024-02-01,6,21,3,44065.40
562,2024-02-01,6,22,3,45651.53
563,2024-02-01,6,23,3,48561.82
564,2024-02-01,6,24,3,47632.27
565,2024-02-01,6,25,3,49404.40
566,2024-02-01,6,26,3,52164.76
567,2024-02-01,6,27,3,50281.31
568,2024-02-01,6,28,3,44423.86
569,2024-02-01,6,29,3,44668.20
570,2024-02-01,6,30,3,44311.35
571,2024-02-01,6,31,3,46883.80
572,2024-02-01,6,32,3,48535.80
573,2024-02-01,6,33,3,49184.04
574,2024-02-01,6,34,3,51095.70
575,2024-02-01,6,35,3,53057.14
576,2024-02-01,6,36,3,53518.18
577,2024-02-01,7,1,3,35118.71
578,2024-02-01,7,2,3,39259.48
579,2024-02-01,7,3,3,42519.72
580,2024-02-01,7,4,3,43292.07
581,2024-02-01,7,5,3,48720.03
582,2024-02-01,7,6,3,52194.42
583,2024-02-01,7,7,3,53191.00
584,2024-02-01,7,8,3,54670.17
585,2024-02-01,7,9,3,60206.00
586,2024-02-01,7,10,3,38712.06
587,2024-02-01,7,11,3,38895.12
588,2024-02-01,7,12,3,40471.31
589,2024-02-01,7,13,3,42983.58
590,2024-02-01,7,14,3,45998.43
591,2024-02-01,7,15,3,48274.56
592,2024-02-01,7,16,3,50380.39
593,2024-02-01,7,17,3,50339.52
594,2024-02-01,7,18,3,51393.51
595,2024-02-01,7,19,3,41380.51
596,2024-02-01,7,20,3,41913.43
597,2024-02-01,7,21,3,43488.52
598,2024-02-01,7,22,3,45583.36
599,2024-02-01,7,23,3,46314.60
600,2024-02-01,7,24,3,46803.28
601,2024-02-01,7,25,3,48869.46
602,2024-02-01,7,26,3,51042.22
603,2024-02-01,7,27,3,51093.59
604,2024-02-01,7,28,3,44855.11
605,2024-02-01,7,29,3,44379.32
606,2024-02-01,7,30,3,46485.05
607,2024-02-01,7,31,3,47602.92
608,2024-02-01,7,32,3,49912.36
609,2024-02-01,7,33,3,49778.46
610,2024-02-01,7,34,3,49747.35
611,2024-02-01,7,35,3,51415.31
612,2024-02-01,7,36,3,54152.77
613,2024-02-01,8,1,3,36020.28
614,2024-02-01,8,2,3,39034.00
615,2024-02-01,8,3,3,42004.00
616,2024-02-01,8,4,3,45694.98
617,2024-02-01,8,5,3,48903.19
618,2024-02-01,8,6,3,50238.72
619,2024-02-01,8,7,3,54609.00
620,2024-02-01,8,8,3,58807.08
621,2024-02-01,8,9,3,60124.00
622,2024-02-01,8,10,3,37503.18
623,2024-02-01,8,11,3,39192.00
624,2024-02-01,8,12,3,41127.00
625,2024-02-01,8,13,3,44968.74
626,2024-02-01,8,14,3,45897.00
627,2024-02-01,8,15,3,45208.79
628,2024-02-01,8,16,3,49592.00
629,2024-02-01,8,17,3,51563.04
630,2024-02-01,8,18,3,51755.76
631,2024-02-01,8,19,3,43052.36
632,2024-02-01,8,20,3,41369.72
633,2024-02-01,8,21,3,43106.99
634,2024-02-01,8,22,3,44890.08
635,2024-02-01,8,23,3,45344.78
636,2024-02-01,8,24,3,47755.82
637,2024-02-01,8,25,3,49110.32
638,2024-02-01,8,26,3,50510.00
639,2024-02-01,8,27,3,54498.54
640,2024-02-01,8,28,3,44716.13
641,2024-02-01,8,29,3,45645.41
642,2024-02-01,8,30,3,44816.33
643,2024-02-01,8,31,3,48594.78
644,2024-02-01,8,32,3,50734.09
645,2024-02-01,8,33,3,51289.07
646,2024-02-01,8,34,3,51571.00
647,2024-02-01,8,35,3,51096.28
648,2024-02-01,8,36,3,52914.40
649,2024-02-01,9,1,3,36771.07
650,2024-02-01,9,2,3,39922.27
651,2024-02-01,9,3,3,42747.00
652,2024-02-01,9,4,3,46529.34
653,2024-02-01,9,5,3,47737.76
654,2024-02-01,9,6,3,50325.54
655,2024-02-01,9,7,3,54625.23
656,2024-02-01,9,8,3,55917.59
657,2024-02-01,9,9,3,58992.49
658,2024-02-01,9,10,3,37779.39
659,2024-02-01,9,11,3,41479.13
660,2024-02-01,9,12,3,41684.94
661,2024-02-01,9,13,3,44896.32
662,2024-02-01,9,14,3,46299.53
663,2024-02-01,9,15,3,47035.89
664,2024-02-01,9,16,3,48059.62
665,2024-02-01,9,17,3,50227.57
666,2024-02-01,9,18,3,53241.00
667,2024-02-01,9,19,3,42718.56
668,2024-02-01,9,20,3,44509.33
669,2024-02-01,9,21,3,44922.38
670,2024-02-01,9,22,3,48068.66
671,2024-02-01,9,23,3,48035.20
672,2024-02-01,9,24,3,47891.84
673,2024-02-01,9,25,3,51249.02
674,2024-02-01,9,26,3,53175.25
675,2024-02-01,9,27,3,54084.07
676,2024-02-01,9,28,3,45054.62
677,2024-02-01,9,29,3,44441.24
678,2024-02-01,9,30,3,48101.21
679,2024-02-01,9,31,3,46392.38
680,2024-02-01,9,32,3,49029.20
681,2024-02-01,9,33,3,50356.20
682,2024-02-01,9,34,3,49816.54
683,2024-02-01,9,35,3,51322.89
684,2024-02-01,9,36,3,54939.44
685,2024-02-01,10,1,3,35402.50
686,2024-02-01,10,2,3,40284.90
687,2024-02-01,10,3,3,41792.85
688,2024-02-01,10,4,3,47261.70
689,2024-02-01,10,5,3,49318.30
690,2024-02-01,10,6,3,53422.50
691,2024-02-01,10,7,3,56226.70
692,2024-02-01,10,8,3,58301.10
693,2024-02-01,10,9,3,59761.70
694,2024-02-01,10,10,3,39795.30
695,2024-02-01,10,11,3,41157.00
696,2024-02-01,10,12,3,43733.80
